s_no,tpa,entity_code,hospital_name,address,district,subentities,single_multi,pvt_govt,directrate,edc,edc_date,year,grade,bariatric_surgery,cardiology,cardiothoracic_surgeries,dermatology,ent,endocrinology,follow_up_procedure,gastroenterology,general_medicine,general_surgery,genitourinary_surgery,gynaecology_obstetric_surgery,haemotology,hepatology,infectious_diseases,interventional_cardiology,interventional_radiology,medical_oncology,neonatology,nephrology,neurology,neurosurgery,ofms,ophthalmology_surgeries,orthopedics,paediatric_intensive_care,paediatric_surgeries,paediatrics,plastic_surgery,pmr,psychiatry,pulmonology,radiation_oncology,rehabilitation,rheumatology,spine,surgical_gastro_enterology,surgical_oncology,vascular_surgeries,joint_replacement,latitude,longitude,location_accuracy
369,MA,H_23932,"Mathuram Hospital, Puthur, Trichy TN."," No. 3A, GH, EVR Rd, Anna Nagar, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,53,18-09-2021,2021,A4,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,10.7992254,78.6811423,Village/Town Center
370,MA,H_26109,"Maxivision Eye Hospital Pvt Ltd, Trichy, TN.","B9/1, SECOND CROSS WEST EXTENSION",Tiruchirappalli,Private,Single,PVT HOSPITAL,Pvt,81,04-12-2024,2024,S1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.8071144,78.6880939,Village/Town Center
403,MA,H_25661,"NRSLJ Speciality Hospitals, Musiri ,Trichy TN.","NO 22A, SANTHAPALAYAM, MUSIRI BYPASS ROAD, MUSIRI, TRICHY DT621211",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,59,31-05-2022,2022,A6,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.8071144,78.6880939,District Center
423,MA,H_22666,"Q Med Hospital,Renganathapuram, Pudur,Trichy,TN.","25 OFFICERS COLONY ROAD,RENGANATHAPURAM,PUTHUR,TRICHY.",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,21,16-07-2018,2018,A4,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.8149173,78.6774838,Village/Town Center
433,MA,H_22802,"Rathna Medical Centre,Kumaran Nagar,Trichy TN.","NO.9,KUMARAN NAGAR,VAYALUR MAIN ROAD,TRICHY-620017.",Tiruchirappalli,Private,Single,PVT HOSPITAL,Pvt,29,12-02-2019,2019,S2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.8071144,78.6880939,District Center
435,MA,H_18457,"Retna Global Hospital, Trichy TN.","95/1 PATTABIRAMAN STREET,TENNUR,TRICHY-17",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,5,19-04-2017,2017,A6,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,10.8098728,78.6803203,Exact Hospital
475,MA,H_26136,"Shwetha Spl Hospital Pvt Ltd, Tiruchirapalli, TN.","P.No:7,11th Cross West,Thillai Nagar,Trichy - 620018",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,83,30-01-2025,2025,A5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.8071144,78.6880939,Village/Town Center
476,MA,H_22969,"Silverline Speciality Hospital,Trichy TN.","No:23,4th cross, West Extension, Thillai Nagar, Trichy. Ph no:9677336097",Tiruchirappalli,Private,Single,PVT HOSPITAL,Pvt,32,06-08-2019,2019,S1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10.8246371,78.681967,Exact Hospital
478,MA,H_18950,"Sinduja Hospital,Manaparai,Trichy TN.","NO.76, MADURAI ROAD, MANAPPARAI",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,5,19-04-2017,2017,A3,False,True,True,False,True,False,True,False,True,True,True,True,False,False,False,True,False,True,False,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False,False,True,10.8135662,78.6944695,Village/Town Center
481,MA,H_21517,"SMS Hospital, Trichy TN.","NO:128/75 K, SALAI ROAD, JAYANTHI BUS STOP, TRICHY - 620018.",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,5,19-04-2017,2017,A3,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.8270753,78.6824426,Exact Hospital
492,MA,H_25898,"Sri Kauvery Medical Care Dialysis,Trichy TN.","NO : 05, ROYAL ROAD CANTONMEN",Tiruchirappalli,Private,Single,PVT HOSPITAL,Pvt,71,08-08-2023,2023,S2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.8071144,78.6880939,Village/Town Center
493,MA,H_26333,"Sri Kauvery Medical Care India Limited, Trichy TN.","No 7C,7-c/1, Alexandria Road, Cantonment,Trichy - 620001",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,92,26-11-2025,2025,A6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,10.8071144,78.6880939,Village/Town Center
494,MA,H_18586,"Sri Kauvery Medical Care India Ltd, Trichy TN.","NO:1, K.C ROAD, TENNUR, TRICHY 17",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,3,04-04-2017,2017,A1,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,10.817419,78.686177,Village/Town Center
499,MA,H_22647,"SRI KUMARAN HOSPITAL,TRICHY,TN","NO:50/9, Viralimalai Road, Manapparai",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,19,21-06-2018,2018,A3,False,True,False,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,10.7050731,78.550731,Village/Town Center
510,MA,H_26170,"Sri Ramakrishna Spl Hos Pvt Ltd, Trichy, TN.","B 20, 2nd Cross Rd, West Thillai Nagar, Thillai Nagar, Tiruchirappalli, Tamil Nadu ",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,86,30-04-2025,2025,A6,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,10.8071144,78.6880939,Village/Town Center
2016,MA,H_19791,"Srihari Dhanvantri Scans Manaparai, Trichy Dc.",,Tiruchirappalli,Private,PVT-STANDALONE,DC PVT-STANDALONE,Pvt,5,19-04-2017,2017,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.8071144,78.6880939,District Center
516,MA,H_23934,"Srinivasan Medical College and Hospital,Trichy TN.","NH-45, Trichy Chennai Trunk Road, (Near Samayapuram Toll Plaza) Samayapuram, Tiruchirappalli",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,51,19-08-2021,2021,A4,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,True,False,True,False,True,True,10.8071144,78.6880939,District Center
517,MA,H_24860,"Srinivasan Super Speciality hospital,Trichy TN.","NH 45, Trichy - Chennai Trunk Road, Near Samayapuram Toll Plaza, Samayapuram, Mannachanallur (Tk), Trichy - ",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,53,18-09-2021,2021,A1,False,True,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,True,True,True,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True,False,True,True,10.8071144,78.6880939,District Center
522,MA,H_22716,"STAR KIMS HOSPITALS,Trichy TN.","D-6, 6th Cross W, West Extension, Woraiyur, Tiruchirappalli, Tamil Nadu 620018",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,24,08-10-2018,2018,A6,False,True,False,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,10.8233564,78.681869,Exact Hospital
530,MA,H_22017,"Sugam Hospital,Trichy,TN.","No: 63/5, Madurai Road, Manaparai, Trichy- 621307",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,1,20-03-2017,2017,A3,False,True,False,False,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,11.2060083,78.1854033,Hospital in TN
531,MA,H_26060,"Suham Hospital Pvt Ltd, Tiruchirapalli, TN.","12/4, ROYAL GARDEN trunk road CHECK POST, TIRUVANAIKOVIL.",Tiruchirappalli,Private,Multiple,PVT HOSPITAL,Pvt,79,28-08-2024,2024,A6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.387877,77.608032,Hospital in TN
534,MA,H_18956,"Sundaram Hospital,Puthur,Trichy TN.","NO : 17 EVR ROAD, PUTHUR TRICHY.",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,5,19-04-2017,2017,A3,False,True,True,False,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,10.8138963,78.6775833,Exact Hospital
553,MA,H_18539,"Trichy SRM Medi Col Hosp And Res Centr, Trichy TN.","IRUNGALUR, TRICHY - 621 105",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,4,12-04-2017,2017,A4,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,False,True,True,10.9493627,78.75733,Village/Town Center
559,MA,H_18947,"Vasan Eye Care,Annamalai Nagar,Trichy TN.","NO : 10 ANNAMALAI NAGAR MAIN ROAD,TRICHY",Tiruchirappalli,Private,Single,PVT HOSPITAL,Pvt,5,19-04-2017,2017,S2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.8281504,78.6848478,Exact Hospital
561,MA,H_22725,"VELAN SPEICALITY HOSPITALS PRIVATE LTD, Trichy TN.","No:1,Highways Colony,Subramaniyapuram,Jailcorner, Pudukottai main road,trichy.",Tiruchirappalli,Private,Multi,PVT HOSPITAL,Pvt,25,26-10-2018,2018,A4,False,True,True,True,False,False,False,True,True,True,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,10.8071144,78.6880939,District Center
571,MA,H_22018,"Vijayalakshmi Eye Hospital,Trichy,TN.","No 92,Vayalur Main Road,Uyyakondanthirumalai-620102",Tiruchirappalli,Private,Single,PVT HOSPITAL,Pvt,1,20-03-2017,2017,S1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.8071144,78.6880939,District Center
2019,MA,H_22053,"Aarthi Scans,Vannarapettai Tirunelveli DC.",,Tirunelveli,Private,PVT-STANDALONE,DC PVT-STANDALONE,Pvt,2,27-03-2017,2017,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.5495014,77.5805178,District Center
174,MA,H_26187,"Angel Nursg Home and Heart Centr, Tirunelveli, TN.",10/1 MAIN ROAD SANTHI NAGAR TIRUNELVELI 627002 ,Tirunelveli,Private,Multi,PVT HOSPITAL,Pvt,87,28-05-2025,2025,A5,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.5495014,77.5805178,District Center
178,MA,H_18315,"Annai Velankanni Nursing Home,Tirunelveli TN.","1/111,Somasi Nayanar St,Murugankurichi,Palayamkottai",Tirunelveli,Private,Multi,PVT HOSPITAL,Pvt,5,19-04-2017,2017,A6,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,8.726432,77.7315583,Village/Town Center
192,MA,H_18454,"Aravind Eye Hospital,Tirunellvelli TN.","No1. S.N. High Road, Tirunelveli",Tirunelveli,Private,Single,PVT HOSPITAL,Pvt,1,20-03-2017,2017,S1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.5495014,77.5805178,District Center
209,MA,H_19615,"Balaji Hospital, Tirunelveli TN.
","316A,North Main Road, Near Concordia School,Vallioor",Tirunelveli,Private,Multi,PVT HOSPITAL,Pvt,8,24-06-2017,2017,A3,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,8.9550625,77.3115106,Exact Hospital
2113,MA,H_21196,"Bharat Scans, Tirunelveli DC.",,Tirunelveli,Private,PVT-STANDALONE,DC PVT-STANDALONE,Pvt,46,29-03-2021,2021,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.5495014,77.5805178,District Center
233,MA,H_22019,"CSI Bellpins Mission Hospital,Tirunelveli,TN.","200 E/7, Tiruchendur Road, Palayamkottai, Tirunelveli",Tirunelveli,Private,Multi,PVT HOSPITAL,Pvt,1,20-03-2017,2017,A6,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,8.7232798,77.7488801,Exact Hospital
234,MA,H_24127,"CSI Jayaraj Annaparkiam Hospital,Tirunelveli TN.","1B/2, North High Ground Road, Palayamkottai, Tirunelveli, Tamil Nadu ",Tirunelveli,Private,Multi,PVT HOSPITAL,Pvt,55,12-11-2021,2021,A2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.7331721,77.710255,Village/Town Center
